Category,Subcategory,Article,Languages,Last Updated
Place,Astronomy,Galaxy,179 Wikipedias,2025/01/03
Place,Region,Northern Ireland,179 Wikipedias,2024/12/09
Group,Music,Queen (band),178 Wikipedias,2024/11/25
Other,Language,Catalan language,178 Wikipedias,2024/11/25
Other,Language,Interlingue,178 Wikipedias,2024/12/15
Other,Language,Korean language,178 Wikipedias,2024/12/15
Other,Organism,Spider,178 Wikipedias,2025/03/01
Person,Science,Carl Linnaeus,178 Wikipedias,2024/12/16
Person,Writing,Hans Christian Andersen,178 Wikipedias,2024/12/11
Person,Writing,Miguel de Cervantes,178 Wikipedias,2024/12/09
Place,City,Accra,178 Wikipedias,2025/02/12
Place,City,Venice,178 Wikipedias,2024/12/12
Other,Other,Autumn,177 Wikipedias,2025/02/06
Other,Other,Love,177 Wikipedias,2024/12/09
Person,Exploration,Marco Polo,177 Wikipedias,2024/12/16
Person,Politics (1900s),Mao Zedong,177 Wikipedias,2024/12/16
Person,Politics (1900s),Winston Churchill,177 Wikipedias,2024/12/16
Person,Sports,Lionel Messi,177 Wikipedias,2024/12/05
Place,Region,Puerto Rico,177 Wikipedias,2024/12/12
Field,Other,Anthropology,176 Wikipedias,2024/12/14
Material,Element,Calcium,176 Wikipedias,2025/02/10
Material,Element,Tin,176 Wikipedias,2025/02/10
Other,Astronomy,Comet,176 Wikipedias,2025/02/19
Other,Economics,Communism,176 Wikipedias,2025/02/19
Other,Language,Bengali language,176 Wikipedias,2024/11/25
Other,Language,Romanian language,176 Wikipedias,2024/11/25
Other,Letter,A,176 Wikipedias,2024/12/09
Other,Other,Rainbow,176 Wikipedias,2025/02/18
Person,Writing,Victor Hugo,176 Wikipedias,2024/12/11
Place,City,Algiers,176 Wikipedias,2025/02/18
Place,City,Toronto,176 Wikipedias,2024/12/12
Place,Mountain,Alps,176 Wikipedias,2024/12/12
Material,Element,Beryllium,175 Wikipedias,2025/02/10
Material,Element,Lead,175 Wikipedias,2025/02/10
Material,Element,Neon,175 Wikipedias,2025/02/10
Other,Astronomy,Black hole,175 Wikipedias,2025/02/19
Other,Food,Cheese,175 Wikipedias,2024/12/09
Other,Language,Finnish language,175 Wikipedias,2024/11/25
Other,Language,Swahili language,175 Wikipedias,2024/11/25
Other,Other,University,175 Wikipedias,2024/12/09
Person,Philosophy,Immanuel Kant,175 Wikipedias,2024/12/09
Person,Philosophy,René Descartes,175 Wikipedias,2024/12/09
Person,Writing,Fyodor Dostoevsky,175 Wikipedias,2024/11/25
Place,Water,Baltic Sea,175 Wikipedias,2024/12/14
Material,Element,Sodium,174 Wikipedias,2025/02/10
Other,Language,Czech language,174 Wikipedias,2024/11/25
Other,Religion,Catholic Church,174 Wikipedias,2024/12/16
Other,War,Cold War,174 Wikipedias,2024/12/05
Person,Politics (1900s),Martin Luther King Jr.,174 Wikipedias,2024/12/05
Person,Politics (pre-1900),Genghis Khan,174 Wikipedias,2024/12/09
Place,Continent,Eurasia,174 Wikipedias,2024/12/05
Place,Region,French Guiana,174 Wikipedias,2024/12/13
Business,Website,Google,173 Wikipedias,2024/12/09
Other,Language,Azerbaijani language,173 Wikipedias,2024/11/25
Other,Language,Croatian language,173 Wikipedias,2024/11/25
Other,Language,Danish language,173 Wikipedias,2024/11/25
Other,Organism,Bacteria,173 Wikipedias,2025/04/02
Person,Painting,Rembrandt,173 Wikipedias,2024/12/09
Person,Science,Nicolaus Copernicus,173 Wikipedias,2024/12/16
Person,US President,John F. Kennedy,173 Wikipedias,2024/12/16
Place,City,Abuja,173 Wikipedias,2025/02/12
Place,Country,Abkhazia,173 Wikipedias,2024/11/25
Place,Country,State of Palestine,173 Wikipedias,2024/12/09
Place,Region,Catalonia,173 Wikipedias,2024/12/13
Place,Water,North Sea,173 Wikipedias,2024/12/14
Place,Water,Red Sea,173 Wikipedias,2024/12/14
Place,Water,Volga,173 Wikipedias,2024/12/14
Material,Element,Mercury (element),172 Wikipedias,2025/02/10
Other,Food,Cucumber,172 Wikipedias,2025/04/02
Other,Metrics,Metre,172 Wikipedias,2024/12/09
Other,Religion,Atheism,172 Wikipedias,2024/12/15
Person,Exploration,Ferdinand Magellan,172 Wikipedias,2024/12/16
Person,Writing,Voltaire,172 Wikipedias,2024/11/25
Place,Water,Caribbean Sea,172 Wikipedias,2024/12/14
Place,Water,Danube,172 Wikipedias,2024/12/14
Other,Color,Black,171 Wikipedias,2024/12/09
Other,Number,3,171 Wikipedias,2024/12/29
Other,Other,Country,171 Wikipedias,2024/12/09
Other,Other,Death,171 Wikipedias,2024/12/09
Other,Science,Electricity,171 Wikipedias,2025/01/03
Person,Writing,Virgil,171 Wikipedias,2024/12/16
Material,Element,Magnesium,170 Wikipedias,2025/02/10
Material,Element,Uranium,170 Wikipedias,2025/02/10
Material,Element,Zinc,170 Wikipedias,2025/02/10
Other,Metrics,Energy,170 Wikipedias,2024/12/09
Other,Other,East,170 Wikipedias,2025/03/25
Other,Other,North,170 Wikipedias,2025/03/25
Person,Politics (recent),Angela Merkel,170 Wikipedias,2024/12/09
Person,US President,Bill Clinton,170 Wikipedias,2025/02/05
Field,Painting,Painting,169 Wikipedias,2024/12/14
Material,Element,Silicon,169 Wikipedias,2025/02/10
Other,Color,Green,169 Wikipedias,2024/12/09
Other,Color,White,169 Wikipedias,2024/12/09
Other,Color,Yellow,169 Wikipedias,2024/12/09
Other,Language,Afrikaans,169 Wikipedias,2024/11/25
Other,Language,Hungarian language,169 Wikipedias,2024/11/25
Other,Organism,Dinosaur,169 Wikipedias,2024/12/27
Other,Other,United States dollar,169 Wikipedias,2024/12/15
Other,Religion,Pope,169 Wikipedias,2024/12/16
Person,Business,Bill Gates,169 Wikipedias,2024/12/06
Person,Writing,Friedrich Nietzche,169 Wikipedias,2024/12/09
Place,City,Addis Ababa,169 Wikipedias,2025/02/12
Place,City,Melbourne,169 Wikipedias,2025/02/19
Place,Mountain,Andes,169 Wikipedias,2024/12/12
Field,Other,Theatre,168 Wikipedias,2024/12/14
Material,Element,Fluorine,168 Wikipedias,2025/02/10
Material,Element,Phosphorus,168 Wikipedias,2025/02/10
Material,Element,Potassium,168 Wikipedias,2025/02/10
Other,Building,Eiffel Tower,168 Wikipedias,2024/12/15
Other,Food,Wheat,168 Wikipedias,2024/12/09
Other,Other,Cyrillic script,168 Wikipedias,2025/03/01
Other,Other,Life,168 Wikipedias,2024/12/09
Other,Other,South,168 Wikipedias,2025/03/25
Person,Film,Walt Disney,168 Wikipedias,2024/12/16
Person,Painting,Raphael,168 Wikipedias,2024/12/11
Person,Writing,Franz Kafka,168 Wikipedias,2024/12/09
Place,Country (former),Ancient Egypt,168 Wikipedias,2024/12/11
Business,Website,Twitter,167 Wikipedias,2025/01/03
Field,Other,Archaeology,167 Wikipedias,2024/12/14
Field,Other,Society,167 Wikipedias,2024/12/14
Other,Color,Blue,167 Wikipedias,2024/12/09
Other,Organism,Columbidae,167 Wikipedias,2025/01/31
Other,Organism,Owl,167 Wikipedias,2025/01/31
Other,Other,Salt,167 Wikipedias,2025/02/19
Other,Politics,Monarchy,167 Wikipedias,2024/12/09
Person,Business,Steve Jobs,167 Wikipedias,2024/12/09
Person,Exploration,Neil Armstrong,167 Wikipedias,2024/12/06
Person,Religion,Abraham,167 Wikipedias,2024/12/05
Person,Sports,Cristiano Ronaldo,167 Wikipedias,2024/12/05
Place,Region,Aruba,167 Wikipedias,2024/12/13
Field,Other,Engineering,166 Wikipedias,2024/12/14
Material,Element,Boron,166 Wikipedias,2025/02/10
Material,Element,Chlorine,166 Wikipedias,2025/02/10
Other,Metrics,Area,166 Wikipedias,2025/01/08
Other,Other,Marriage,166 Wikipedias,2025/01/03
Other,Other,Renaissance,166 Wikipedias,2025/02/05
Other,Science,Molecule,166 Wikipedias,2025/01/04
Place,Mountain,Mount Kilimanjaro,166 Wikipedias,2024/12/12
Place,Region,Quebec,166 Wikipedias,2024/12/09
Place,Water,Mississippi River,166 Wikipedias,2024/12/14
Other,Language,Norwegian language,165 Wikipedias,2024/11/25
Other,Organism,Amphibian,165 Wikipedias,2024/12/27
Other,Organism,Reptile,165 Wikipedias,2024/12/27
Other,Other,Human rights,165 Wikipedias,2024/12/09
Other,Other,Logic,165 Wikipedias,2024/12/09
Other,Other,Middle Ages,165 Wikipedias,2024/12/09
Other,Other,Nature,165 Wikipedias,2024/12/09
Person,Music,Lady Gaga,165 Wikipedias,2024/12/05
Person,Politics (1900s),Charles de Gaulle,165 Wikipedias,2025/02/05
Person,Science,Nikola Tesla,165 Wikipedias,2024/12/16
Person,Writing,Charles Dickens,165 Wikipedias,2024/11/25
Place,City,Pretoria,165 Wikipedias,2025/01/31
Place,Water,Rhine,165 Wikipedias,2024/12/14
Art,Film,Mickey Mouse,164 Wikipedias,2024/12/09
Material,Element,Argon,164 Wikipedias,2025/02/10
Other,Building,Great Wall of China,164 Wikipedias,2024/12/15
Other,Building,Taj Mahal,164 Wikipedias,2024/12/15
Other,Food,Watermelon,164 Wikipedias,2025/04/02
Other,Metrics,Mass,164 Wikipedias,2024/12/09
Other,Other,West,164 Wikipedias,2025/03/25
Other,Science,Electron,164 Wikipedias,2025/01/03
Person,Politics (current),Volodymyr Zelenskyy,164 Wikipedias,2024/12/09
Other,Number,4,163 Wikipedias,2024/12/29
Other,Number,Pi,163 Wikipedias,2025/01/03
Other,Science,Gravity,163 Wikipedias,2025/01/03
Person,Exploration,Vasco da Gama,163 Wikipedias,2024/12/16
Person,Painting,Frida Kahlo,163 Wikipedias,2024/12/11
Person,Religion,Pope Francis,163 Wikipedias,2024/12/05
Other,Language,Bulgarian language,162 Wikipedias,2024/11/25
Other,Letter,B,162 Wikipedias,2024/12/23
Other,Number,5,162 Wikipedias,2024/12/29
Other,Other,Prehistory,162 Wikipedias,2025/03/19
Other,Other,Skin,162 Wikipedias,2025/02/19
Other,Other,Stone Age,162 Wikipedias,2025/03/19
Other,Other,Triangle,162 Wikipedias,2025/02/18
Other,War,French Revolution,162 Wikipedias,2024/12/05
Person,Science,Euclid,162 Wikipedias,2024/12/11
Person,US President,Jimmy Carter,162 Wikipedias,2025/01/24
Place,Water,Ganges,162 Wikipedias,2024/12/14
Other,Language,Irish language,161 Wikipedias,2024/11/25
Other,Metrics,Second,161 Wikipedias,2024/12/15
Other,Other,The Holocaust,161 Wikipedias,2024/12/09
Person,Music,Frédéric Chopin,161 Wikipedias,2024/11/25
Person,Politics (pre-1900),Charlemagne,161 Wikipedias,2024/12/05
Business,Other,Microsoft,160 Wikipedias,2024/12/09
Field,Other,Photography,160 Wikipedias,2024/12/14
Other,Letter,C,160 Wikipedias,2024/12/23
Other,Number,7,160 Wikipedias,2024/12/29
Other,Organism,Deer,160 Wikipedias,2025/03/01
Other,Sports,Tennis,160 Wikipedias,2024/12/09
Person,Politics (current),Emmanuel Macron,160 Wikipedias,2024/12/05
Place,Water,Suez Canal,160 Wikipedias,2024/12/14
Material,Element,Titanium,159 Wikipedias,2025/02/10
Material,Other,Bone,159 Wikipedias,2024/12/09
Other,Astronomy,Asteroid,159 Wikipedias,2025/02/19
Other,Language,Belarusian language,159 Wikipedias,2024/11/25
Other,Language,Tamil language,159 Wikipedias,2024/11/25
Person,Exploration,James Cook,159 Wikipedias,2024/12/16
Person,Religion,Moses,159 Wikipedias,2024/12/05
Person,Science,Alfred Nobel,159 Wikipedias,2024/12/16
Person,Science,Carl Friedrich Gauss,159 Wikipedias,2025/03/19
Person,Science,Johann Gutenberg,159 Wikipedias,2024/12/16
Person,Science,Leonhard Euler,159 Wikipedias,2024/12/16
Place,Country (former),Holy Roman Empire,159 Wikipedias,2024/12/09
Place,Region,Falkland Islands,159 Wikipedias,2024/12/13
Other,Language,Icelandic language,158 Wikipedias,2024/11/25
Other,Language,Lithuanian language,158 Wikipedias,2024/11/25
Other,Language,Occitan language,158 Wikipedias,2024/12/09
Other,Number,0,158 Wikipedias,2024/12/15
Other,Other,International Phonetic Alphabet,158 Wikipedias,2025/02/25
Person,Economics,Adam Smith,158 Wikipedias,2024/12/06
Person,Philosophy,Pythagoras,158 Wikipedias,2024/12/05
Person,US President,Thomas Jefferson,158 Wikipedias,2025/01/24
Place,Region,Hesse,158 Wikipedias,2025/02/10
Material,Element,Arsenic,157 Wikipedias,2025/02/10
Material,Element,Chromium,157 Wikipedias,2025/02/10
Other,Economics,Socialism,157 Wikipedias,2025/02/19
Other,Food,Eggplant,157 Wikipedias,2025/04/02
Other,Language,Estonian language,157 Wikipedias,2024/11/25
Other,Language,Slovak language,157 Wikipedias,2024/11/25
Other,Number,6,157 Wikipedias,2024/12/29
Other,Number,8,157 Wikipedias,2024/12/29
Other,Other,Linux,157 Wikipedias,2025/01/08
Other,Other,Wheel,157 Wikipedias,2025/02/19
Other,Religion,New Testament,157 Wikipedias,2024/12/16
Person,Music,Justin Bieber,157 Wikipedias,2024/12/05
Person,Science,Alan Turing,157 Wikipedias,2024/12/16
Place,City,Kampala,157 Wikipedias,2025/02/18
Place,Water,Lake Baikal,157 Wikipedias,2024/12/14
Material,Element,Cobalt,156 Wikipedias,2025/02/10
Material,Element,Manganese,156 Wikipedias,2025/02/10
Other,Language,Albanian language,156 Wikipedias,2024/11/28
Other,Letter,D,156 Wikipedias,2024/12/23
Person,Exploration,Roald Amundsen,156 Wikipedias,2024/12/16
Person,Music,Eminem,156 Wikipedias,2024/12/05
Person,US President,George H. W. Bush,156 Wikipedias,2025/02/05
Person,Writing,Mark Twain,156 Wikipedias,2024/11/25
Place,Country (former),Nazi Germany,156 Wikipedias,2024/12/12
Place,Organization,African Union,156 Wikipedias,2024/12/12
Place,Region,Bermuda,156 Wikipedias,2024/12/14
Material,Element,Barium,155 Wikipedias,2025/02/10
Material,Element,Iodine,155 Wikipedias,2025/02/10
Material,Element,Nickel,155 Wikipedias,2025/02/10
Material,Element,Platinum,155 Wikipedias,2025/02/10
Other,Language,Armenian language,155 Wikipedias,2024/11/25
Other,Other,Library,155 Wikipedias,2024/12/16
Person,Music,Richard Wagner,155 Wikipedias,2024/11/25
Person,Philosophy,Jean-Jacques Rousseau,155 Wikipedias,2024/12/06
Person,Politics (1900s),Mikhail Gorbachev,155 Wikipedias,2025/01/13
Person,Writing,J. R. R. Tolkien,155 Wikipedias,2024/12/16
Place,Region,Great Britain,155 Wikipedias,2024/12/09
Material,Element,Radium,154 Wikipedias,2025/02/10
Material,Other,Rock (geology),154 Wikipedias,2025/02/19
Other,Economics,Capitalism,154 Wikipedias,2025/02/19
Other,Food,Chocolate,154 Wikipedias,2025/02/11
Other,Letter,E,154 Wikipedias,2024/12/23
Other,Metrics,Force,154 Wikipedias,2024/12/09
Other,Organism,Organism,154 Wikipedias,2024/12/09
Other,Other,Peace,154 Wikipedias,2024/12/09
Other,Religion,Sikhism,154 Wikipedias,2024/12/15
Person,Music,Pyotr Ilyich Tchaikovsky,154 Wikipedias,2024/11/25
Person,Politics (pre-1900),Otto von Bismarck,154 Wikipedias,2024/12/06
Person,Religion,Augustine of Hippo,154 Wikipedias,2024/12/05
Person,Religion,Thomas Aquinas,154 Wikipedias,2024/12/16
Person,Writing,James Joyce,154 Wikipedias,2024/11/25
Place,City,Johannesburg,154 Wikipedias,2025/01/31
Art,Film,Madagascar (2005 film),153 Wikipedias,2024/12/27
Business,Other,Apple Inc.,153 Wikipedias,2025/01/03
Material,Element,Vanadium,153 Wikipedias,2025/02/10
Other,Number,9,153 Wikipedias,2024/12/29
Other,Other,Greek alphabet,153 Wikipedias,2025/03/01
Other,Other,Petroleum,153 Wikipedias,2025/02/19
Other,Religion,Taoism,153 Wikipedias,2024/12/15
Other,Science,Proton,153 Wikipedias,2025/01/03
Person,Painting,Hokusai,153 Wikipedias,2024/12/11
Person,Politics (recent),Fidel Castro,153 Wikipedias,2025/01/13
Person,Science,Gottfried Wilhelm Leibniz,153 Wikipedias,2024/12/16
Person,US President,Harry S. Truman,153 Wikipedias,2025/02/05
Place,Region,Crimea,153 Wikipedias,2024/12/13
Place,Region,Equator,153 Wikipedias,2025/03/19
Material,Other,Wood,152 Wikipedias,2025/02/19
Other,Politics,Fascism,152 Wikipedias,2025/02/15
Other,Science,Sound,152 Wikipedias,2025/01/03
Person,Politics (1900s),Benito Mussolini,152 Wikipedias,2025/02/10
Person,Politics (1900s),Lech Wałęsa,152 Wikipedias,2025/02/05
Person,Politics (pre-1900),Joan of Arc,152 Wikipedias,2024/12/16
Person,US President,Richard Nixon,152 Wikipedias,2025/02/05
Place,City,Windhoek,152 Wikipedias,2025/02/12
Place,Country,South Ossetia,152 Wikipedias,2024/12/13
Place,Country (former),Ancient Greece,152 Wikipedias,2024/12/09
Place,Water,Congo River,152 Wikipedias,2024/12/14
Place,Water,Yangtze,152 Wikipedias,2024/12/14
Group,Music,ABBA,151 Wikipedias,2025/01/08
Material,Element,Gallium,151 Wikipedias,2025/02/10
Material,Element,Krypton,151 Wikipedias,2025/02/10
Material,Element,Selenium,151 Wikipedias,2025/02/10
Other,Food,Papaya,151 Wikipedias,2025/04/02
Other,Language,Basque language,151 Wikipedias,2024/11/28
Other,Metrics,International System of Units,151 Wikipedias,2024/12/09
Other,Metrics,Kilogram,151 Wikipedias,2024/12/09
Other,Number,10,151 Wikipedias,2024/12/29
Other,Organism,Zebra,151 Wikipedias,2024/12/27
Other,Other,Jews,151 Wikipedias,2024/12/10
Other,Other,Knife,151 Wikipedias,2025/02/19
Person,Music,Madonna,151 Wikipedias,2024/12/05
Person,Politics (recent),Kamala Harris,151 Wikipedias,2024/12/16
Person,Politics (recent),Nicolas Sarkozy,151 Wikipedias,2025/02/05
Person,Science,Dimitri Mendelev,151 Wikipedias,2024/12/16
Person,Science,Stephen Hawking,151 Wikipedias,2024/12/05
Person,Writing,Ernest Hemingway,151 Wikipedias,2024/11/28
Place,Country,Northern Cyprus,151 Wikipedias,2024/12/13
Place,Region,Cook Islands,151 Wikipedias,2024/12/13
Place,Region,North Pole,151 Wikipedias,2024/12/09
Material,Element,Bromine,150 Wikipedias,2025/02/10
Material,Element,Francium,150 Wikipedias,2025/02/10
Material,Element,Radon,150 Wikipedias,2025/02/10
Material,Element,Xenon,150 Wikipedias,2025/02/10
Other,Building,Louvre,150 Wikipedias,2024/12/15
Other,Language,Romance languages,150 Wikipedias,2024/12/09
Other,Religion,Old Testament,150 Wikipedias,2024/12/16
Person,Music,Selena Gomez,150 Wikipedias,2024/12/05
Person,Politics (current),Charles III,150 Wikipedias,2024/12/09
Person,Politics (pre-1900),Cleopatra,150 Wikipedias,2024/12/11
Person,Religion,"Mary, mother of Jesus",150 Wikipedias,2024/12/05
Place,Organization,ASEAN,150 Wikipedias,2024/12/12
Art,Film,The Simpsons,149 Wikipedias,2024/12/09
Material,Element,Cadmium,149 Wikipedias,2025/02/10
Material,Element,Caesium,149 Wikipedias,2025/02/10
Material,Element,Strontium,149 Wikipedias,2025/02/10
Other,Food,Butter,149 Wikipedias,2025/04/02
Other,Language,Indonesian language,149 Wikipedias,2024/12/09
Other,Language,Serbian language,149 Wikipedias,2024/11/28
Other,Organization,NASA,149 Wikipedias,2025/01/03
Other,Other,Bronze Age,149 Wikipedias,2025/03/19
Other,Other,Cotton,149 Wikipedias,2025/02/19
Other,Other,Iron Age,149 Wikipedias,2025/03/19
Other,Other,Microsoft Windows,149 Wikipedias,2025/01/03
Other,Other,Natural number,149 Wikipedias,2024/12/09
Person,Music,Beyoncé,149 Wikipedias,2024/11/28
Person,Politics (1900s),Margaret Thatcher,149 Wikipedias,2025/02/05
Person,Politics (pre-1900),Peter the Great,149 Wikipedias,2025/02/05
Person,Politics (pre-1900),Simón Bolívar,149 Wikipedias,2024/12/09
Person,Science,Michael Faraday,149 Wikipedias,2024/12/16
Person,Writing,Lord Byron,149 Wikipedias,2024/12/16
Place,Region,Ireland,149 Wikipedias,2024/12/10
Place,Region,Isle of Man,149 Wikipedias,2024/12/13
Place,Region,Niue,149 Wikipedias,2024/12/13
Place,Water,Panama Canal,149 Wikipedias,2024/12/14
Material,Element,Rubidium,148 Wikipedias,2025/02/10
Material,Element,Scandium,148 Wikipedias,2025/02/10
Material,Other,Glass,148 Wikipedias,2025/02/19
Other,Metrics,Light-year,148 Wikipedias,2025/01/03
Other,Metrics,Temperature,148 Wikipedias,2025/01/08
Other,War,American Civil War,148 Wikipedias,2024/12/05
Person,Philosophy,Niccolò Machiavelli,148 Wikipedias,2024/12/11
Person,Religion,Laozi,148 Wikipedias,2024/12/05
Person,Religion,Pope Benedict XVI,148 Wikipedias,2024/12/05
Place,City,Harare,148 Wikipedias,2025/02/12
Place,City,Vancouver,148 Wikipedias,2025/02/19
Place,Region,Ontario,148 Wikipedias,2024/12/09
Art,Film,Star Wars,147 Wikipedias,2024/12/09
Material,Element,Antimony,147 Wikipedias,2025/02/10
Material,Element,Iridium,147 Wikipedias,2025/02/10
Material,Element,Tungsten,147 Wikipedias,2025/02/10
Material,Other,Steel,147 Wikipedias,2025/02/10
Other,Language,Georgian language,147 Wikipedias,2024/11/28
Other,Language,Latvian language,147 Wikipedias,2024/11/28
Other,Religion,Zoroastrianism,147 Wikipedias,2024/12/15
Other,Sports,FIFA World Cup,147 Wikipedias,2024/12/09
Other,War,Crusades,147 Wikipedias,2024/12/05
Person,Business,Henry Ford,147 Wikipedias,2024/12/16
Person,Music,Freddie Mercury,147 Wikipedias,2024/12/05
Person,Painting,Henri Matisse,147 Wikipedias,2024/12/11
Person,Politics (pre-1900),Elizabeth I,147 Wikipedias,2025/01/13
Place,City,Gaborone,147 Wikipedias,2025/02/12
Place,Water,Indus River,147 Wikipedias,2024/12/14
Art,Writing,Iliad,146 Wikipedias,2024/12/11
Material,Element,Bismuth,146 Wikipedias,2025/02/10
Material,Element,Germanium,146 Wikipedias,2025/02/10
Material,Element,Osmium,146 Wikipedias,2025/02/10
Material,Element,Plutonium,146 Wikipedias,2025/02/10
Other,Language,Lingua Franca Nova,146 Wikipedias,2024/11/25
Other,Letter,F,146 Wikipedias,2024/12/23
Other,Letter,O,146 Wikipedias,2024/12/23
Other,Letter,R,146 Wikipedias,2024/12/23
Other,Other,Circle,146 Wikipedias,2025/02/18
Other,Other,Square,146 Wikipedias,2025/02/18
Other,Sports,Volleyball,146 Wikipedias,2024/12/16
Person,Business,Elon Musk,146 Wikipedias,2024/12/06
Person,Science,Johannes Kepler,146 Wikipedias,2024/12/16
Person,Science,Max Planck,146 Wikipedias,2024/12/16
Person,US President,Dwight D. Eisenhower,146 Wikipedias,2025/02/05
Person,US President,John Adams,146 Wikipedias,2025/01/24
Person,US President,Woodrow Wilson,146 Wikipedias,2025/02/05
Person,Writing,Edgar Allan Poe,146 Wikipedias,2024/12/13
Person,Writing,Sophocles,146 Wikipedias,2024/12/11
Place,City,Alexandria,146 Wikipedias,2024/12/12
Place,City,Kigali,146 Wikipedias,2025/02/12
Place,City,Lusaka,146 Wikipedias,2025/02/18
Place,City,The Hague,146 Wikipedias,2025/01/24
Place,Mountain,Rocky Mountains,146 Wikipedias,2024/12/12
Place,Region,South Pole,146 Wikipedias,2025/03/19
Place,Water,Lake Victoria,146 Wikipedias,2024/12/14
Business,Sports,FIFA,145 Wikipedias,2025/01/13
Business,Website,Instagram,145 Wikipedias,2025/01/03
Field,Other,Knowledge,145 Wikipedias,2024/12/14
Material,Element,Niobium,145 Wikipedias,2025/02/10
Material,Element,Polonium,145 Wikipedias,2025/02/10
Other,Language,Slavic languages,145 Wikipedias,2024/12/10
Other,Language,Slovene language,145 Wikipedias,2024/11/28
Other,Language,Welsh language,145 Wikipedias,2024/11/28
Other,Letter,G,145 Wikipedias,2024/12/23
Other,Letter,P,145 Wikipedias,2024/12/23
Other,Metrics,Hour,145 Wikipedias,2025/01/08
Other,Organism,Vertebrate,145 Wikipedias,2024/12/10
Other,Religion,Jainism,145 Wikipedias,2024/12/16
Other,Religion,Soul,145 Wikipedias,2024/12/05
Person,Music,Antonio Vivaldi,145 Wikipedias,2024/11/28
Person,Philosophy,Jean-Paul Sartre,145 Wikipedias,2024/12/16
Person,Religion,Paul the Apostle,145 Wikipedias,2024/12/16
Person,Science,Enrico Fermi,145 Wikipedias,2024/12/16
Person,US President,Lyndon B. Johnson,145 Wikipedias,2025/02/05
Place,City,Monrovia,145 Wikipedias,2025/02/12
Place,Country (former),Yugoslavia,145 Wikipedias,2024/12/12
Field,Philosophy,Ethics,144 Wikipedias,2024/12/14
Material,Element,Molybdenum,144 Wikipedias,2025/02/10
Material,Element,Palladium,144 Wikipedias,2025/02/10
Other,Letter,H,144 Wikipedias,2024/12/23
Other,Letter,J,144 Wikipedias,2024/12/23
Other,Letter,L,144 Wikipedias,2024/12/10
Other,Letter,M,144 Wikipedias,2024/12/23
Other,Letter,N,144 Wikipedias,2024/12/23
Other,Letter,S,144 Wikipedias,2024/12/23
Other,Other,Sword,144 Wikipedias,2025/02/19
Other,Religion,Confucianism,144 Wikipedias,2024/12/16
Person,Exploration,Hernán Cortés,144 Wikipedias,2024/12/16
Person,Philosophy,John Locke,144 Wikipedias,2024/12/06
Person,Politics (1900s),Queen Victoria,144 Wikipedias,2025/01/13
Person,Religion,Pope John Paul II,144 Wikipedias,2024/12/05
Place,Region,Tibet,144 Wikipedias,2024/12/13
Field,Region,Province,143 Wikipedias,2024/12/10
Other,Language,Thai language,143 Wikipedias,2024/11/28
Other,Letter,I,143 Wikipedias,2024/12/23
Other,Letter,K,143 Wikipedias,2024/12/23
Other,Letter,T,143 Wikipedias,2024/12/23
Other,Letter,W,143 Wikipedias,2024/12/23
Other,Organism,Polar bear,143 Wikipedias,2024/12/27
Person,Music,Shakira,143 Wikipedias,2024/12/05
Person,Politics (current),Narendra Modi,143 Wikipedias,2024/12/10
Person,Politics (recent),Osama bin Laden,143 Wikipedias,2024/12/10
Person,Religion,Mother Teresa,143 Wikipedias,2024/12/05
Person,US President,Gerald Ford,143 Wikipedias,2025/02/05
Person,US President,Theodore Roosevelt,143 Wikipedias,2025/01/24
Person,Writing,Jorge Luis Borges,143 Wikipedias,2024/12/10
Place,City,Antananarivo,143 Wikipedias,2025/02/18
Place,City,Bangui,143 Wikipedias,2025/01/31
Place,City,New Orleans,143 Wikipedias,2025/03/01
Place,Organization,Commonwealth of Nations,143 Wikipedias,2024/12/12
Place,Water,Yellow River,143 Wikipedias,2024/12/14
Material,Element,Astatine,142 Wikipedias,2025/02/10
Material,Element,Hafnium,142 Wikipedias,2025/02/10
Material,Element,Technetium,142 Wikipedias,2025/02/10
Material,Element,Tellurium,142 Wikipedias,2025/02/10
Material,Other,Plastic,142 Wikipedias,2025/02/19
Other,Food,Pineapple,142 Wikipedias,2025/04/02
Other,Food,Pizza,142 Wikipedias,2024/12/27
Other,Language,Kazakh language,142 Wikipedias,2024/11/28
Other,Letter,U,142 Wikipedias,2024/12/23
Other,Letter,Z,142 Wikipedias,2024/12/23
Other,Organism,Eukaryote,142 Wikipedias,2024/12/27
Other,Other,Axe,142 Wikipedias,2025/02/19
Other,Other,Diamond,142 Wikipedias,2025/02/19
Other,War,Russian invasion of Ukraine,142 Wikipedias,2024/12/05
Person,Film,Alfred Hitchcock,142 Wikipedias,2024/11/28
Person,Music,Bob Dylan,142 Wikipedias,2025/01/17
Person,Politics (current),Xi Jinping,142 Wikipedias,2024/12/10
Person,Sports,Pelé,142 Wikipedias,2024/11/28
Place,Country (former),British Empire,142 Wikipedias,2024/12/10
Place,Country (former),Czechoslovakia,142 Wikipedias,2024/12/12
Place,Region,British Columbia,142 Wikipedias,2025/02/19
Place,Region,Cayman Islands,142 Wikipedias,2024/12/13
Place,Region,Scandinavia,142 Wikipedias,2025/02/10
Place,Water,Adriatic Sea,142 Wikipedias,2024/12/14
Material,Element,Actinium,141 Wikipedias,2025/02/10
Material,Element,Neptunium,141 Wikipedias,2025/02/10
